
---------- Begin Simulation Statistics ----------
sim_seconds                                 32.018700                       # Number of seconds simulated
sim_ticks                                32018700223202                       # Number of ticks simulated
final_tick                               32018700223202                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
host_inst_rate                                  92759                       # Simulator instruction rate (inst/s)
host_op_rate                                   131461                       # Simulator op (including micro ops) rate (op/s)
host_tick_rate                              305959422                       # Simulator tick rate (ticks/s)
host_mem_usage                                1479008                       # Number of bytes of host memory used
host_seconds                                104650.15                       # Real time elapsed on the host
sim_insts                                  9707265693                       # Number of instructions simulated
sim_ops                                   13757440073                       # Number of ops (including micro ops) simulated
system.voltage_domain.voltage                       1                       # Voltage in Volts
system.clk_domain.clock                          1000                       # Clock period in ticks
system.mem_ctrls.pwrStateResidencyTicks::UNDEFINED 32018700223202                       # Cumulative time (in ticks) in various power states
system.mem_ctrls.bytes_read::cpu0.inst         718848                       # Number of bytes read from this memory
system.mem_ctrls.bytes_read::cpu0.data       35694080                       # Number of bytes read from this memory
system.mem_ctrls.bytes_read::cpu1.inst          69696                       # Number of bytes read from this memory
system.mem_ctrls.bytes_read::cpu1.data    18186235072                       # Number of bytes read from this memory
system.mem_ctrls.bytes_read::cpu2.inst       23125760                       # Number of bytes read from this memory
system.mem_ctrls.bytes_read::cpu2.data       73762752                       # Number of bytes read from this memory
system.mem_ctrls.bytes_read::total        18319606208                       # Number of bytes read from this memory
system.mem_ctrls.bytes_inst_read::cpu0.inst       718848                       # Number of instructions bytes read from this memory
system.mem_ctrls.bytes_inst_read::cpu1.inst        69696                       # Number of instructions bytes read from this memory
system.mem_ctrls.bytes_inst_read::cpu2.inst     23125760                       # Number of instructions bytes read from this memory
system.mem_ctrls.bytes_inst_read::total      23914304                       # Number of instructions bytes read from this memory
system.mem_ctrls.bytes_written::writebacks  13075341440                       # Number of bytes written to this memory
system.mem_ctrls.bytes_written::total     13075341440                       # Number of bytes written to this memory
system.mem_ctrls.num_reads::cpu0.inst           11232                       # Number of read requests responded to by this memory
system.mem_ctrls.num_reads::cpu0.data          557720                       # Number of read requests responded to by this memory
system.mem_ctrls.num_reads::cpu1.inst            1089                       # Number of read requests responded to by this memory
system.mem_ctrls.num_reads::cpu1.data       284159923                       # Number of read requests responded to by this memory
system.mem_ctrls.num_reads::cpu2.inst          361340                       # Number of read requests responded to by this memory
system.mem_ctrls.num_reads::cpu2.data         1152543                       # Number of read requests responded to by this memory
system.mem_ctrls.num_reads::total           286243847                       # Number of read requests responded to by this memory
system.mem_ctrls.num_writes::writebacks     204302210                       # Number of write requests responded to by this memory
system.mem_ctrls.num_writes::total          204302210                       # Number of write requests responded to by this memory
system.mem_ctrls.bw_read::cpu0.inst             22451                       # Total read bandwidth from this memory (bytes/s)
system.mem_ctrls.bw_read::cpu0.data           1114789                       # Total read bandwidth from this memory (bytes/s)
system.mem_ctrls.bw_read::cpu1.inst              2177                       # Total read bandwidth from this memory (bytes/s)
system.mem_ctrls.bw_read::cpu1.data         567987924                       # Total read bandwidth from this memory (bytes/s)
system.mem_ctrls.bw_read::cpu2.inst            722258                       # Total read bandwidth from this memory (bytes/s)
system.mem_ctrls.bw_read::cpu2.data           2303740                       # Total read bandwidth from this memory (bytes/s)
system.mem_ctrls.bw_read::total             572153338                       # Total read bandwidth from this memory (bytes/s)
system.mem_ctrls.bw_inst_read::cpu0.inst        22451                       # Instruction read bandwidth from this memory (bytes/s)
system.mem_ctrls.bw_inst_read::cpu1.inst         2177                       # Instruction read bandwidth from this memory (bytes/s)
system.mem_ctrls.bw_inst_read::cpu2.inst       722258                       # Instruction read bandwidth from this memory (bytes/s)
system.mem_ctrls.bw_inst_read::total           746886                       # Instruction read bandwidth from this memory (bytes/s)
system.mem_ctrls.bw_write::writebacks       408365778                       # Write bandwidth from this memory (bytes/s)
system.mem_ctrls.bw_write::total            408365778                       # Write bandwidth from this memory (bytes/s)
system.mem_ctrls.bw_total::writebacks       408365778                       # Total bandwidth to/from this memory (bytes/s)
