
---------- Begin Simulation Statistics ----------
sim_seconds                                  0.003852                       # Number of seconds simulated
sim_ticks                                  3851831920                       # Number of ticks simulated
final_tick                               1425819643920                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
host_inst_rate                                 521593                       # Simulator instruction rate (inst/s)
host_op_rate                                   932897                       # Simulator op (including micro ops) rate (op/s)
host_tick_rate                              669639299                       # Simulator tick rate (ticks/s)
host_mem_usage                                3428632                       # Number of bytes of host memory used
host_seconds                                     5.75                       # Real time elapsed on the host
sim_insts                                     3000235                       # Number of instructions simulated
sim_ops                                       5366097                       # Number of ops (including micro ops) simulated
system.voltage_domain.voltage                       1                       # Voltage in Volts
system.clk_domain.clock                          1000                       # Clock period in ticks
system.mem_ctrls.pwrStateResidencyTicks::UNDEFINED 1425819643920                       # Cumulative time (in ticks) in various power states
system.mem_ctrls.bytes_read::cpu0.inst            128                       # Number of bytes read from this memory
system.mem_ctrls.bytes_read::cpu0.data            320                       # Number of bytes read from this memory
system.mem_ctrls.bytes_read::cpu1.inst            128                       # Number of bytes read from this memory
system.mem_ctrls.bytes_read::cpu1.data            320                       # Number of bytes read from this memory
system.mem_ctrls.bytes_read::cpu2.inst            128                       # Number of bytes read from this memory
system.mem_ctrls.bytes_read::cpu2.data            320                       # Number of bytes read from this memory
system.mem_ctrls.bytes_read::switch_cpus0.inst        51456                       # Number of bytes read from this memory
system.mem_ctrls.bytes_read::switch_cpus0.data       174592                       # Number of bytes read from this memory
system.mem_ctrls.bytes_read::switch_cpus1.inst        51648                       # Number of bytes read from this memory
system.mem_ctrls.bytes_read::switch_cpus1.data       166400                       # Number of bytes read from this memory
system.mem_ctrls.bytes_read::switch_cpus2.inst        51648                       # Number of bytes read from this memory
system.mem_ctrls.bytes_read::switch_cpus2.data       172416                       # Number of bytes read from this memory
system.mem_ctrls.bytes_read::total             669504                       # Number of bytes read from this memory
system.mem_ctrls.bytes_inst_read::cpu0.inst          128                       # Number of instructions bytes read from this memory
system.mem_ctrls.bytes_inst_read::cpu1.inst          128                       # Number of instructions bytes read from this memory
system.mem_ctrls.bytes_inst_read::cpu2.inst          128                       # Number of instructions bytes read from this memory
system.mem_ctrls.bytes_inst_read::switch_cpus0.inst        51456                       # Number of instructions bytes read from this memory
system.mem_ctrls.bytes_inst_read::switch_cpus1.inst        51648                       # Number of instructions bytes read from this memory
system.mem_ctrls.bytes_inst_read::switch_cpus2.inst        51648                       # Number of instructions bytes read from this memory
system.mem_ctrls.bytes_inst_read::total        155136                       # Number of instructions bytes read from this memory
system.mem_ctrls.bytes_written::writebacks        52544                       # Number of bytes written to this memory
system.mem_ctrls.bytes_written::total           52544                       # Number of bytes written to this memory
system.mem_ctrls.num_reads::cpu0.inst               2                       # Number of read requests responded to by this memory
system.mem_ctrls.num_reads::cpu0.data               5                       # Number of read requests responded to by this memory
system.mem_ctrls.num_reads::cpu1.inst               2                       # Number of read requests responded to by this memory
system.mem_ctrls.num_reads::cpu1.data               5                       # Number of read requests responded to by this memory
system.mem_ctrls.num_reads::cpu2.inst               2                       # Number of read requests responded to by this memory
system.mem_ctrls.num_reads::cpu2.data               5                       # Number of read requests responded to by this memory
system.mem_ctrls.num_reads::switch_cpus0.inst          804                       # Number of read requests responded to by this memory
system.mem_ctrls.num_reads::switch_cpus0.data         2728                       # Number of read requests responded to by this memory
system.mem_ctrls.num_reads::switch_cpus1.inst          807                       # Number of read requests responded to by this memory
